Url,Start,Stop
http://localhost:8080/tools.descartes.teastore.webui/login,269371023980400,269371036751399
http://localhost:8080/tools.descartes.teastore.webui/login,269371047654200,269371059218499
http://localhost:8080/tools.descartes.teastore.webui/login,269371156305200,269371168104900
http://localhost:8080/tools.descartes.teastore.webui/login,269371225267899,269371237110700
http://localhost:8080/tools.descartes.teastore.webui/login,269371279159399,269371293170000
http://localhost:8080/tools.descartes.teastore.webui/login,269371363947500,269371377005700
http://localhost:8080/tools.descartes.teastore.webui/login,269371415691600,269371427550700
http://localhost:8080/tools.descartes.teastore.webui/login,269371500351400,269371518576100
http://localhost:8080/tools.descartes.teastore.webui/login,269371512291800,269371526937100
http://localhost:8080/tools.descartes.teastore.webui/login,269371577113199,269371590786600
http://localhost:8080/tools.descartes.teastore.webui/login,269371619752399,269371631720300
http://localhost:8080/tools.descartes.teastore.webui/login,269371705666200,269371721981199
http://localhost:8080/tools.descartes.teastore.webui/login,269371742073700,269371754850899
http://localhost:8080/tools.descartes.teastore.webui/login,269371825300999,269371841853800
http://localhost:8080/tools.descartes.teastore.webui/login,269371837752200,269371853117700
http://localhost:8080/tools.descartes.teastore.webui/login,269371908020799,269371921156900
http://localhost:8080/tools.descartes.teastore.webui/login,269372016763200,269372028665700
http://localhost:8080/tools.descartes.teastore.webui/login,269372101492100,269372115998200
http://localhost:8080/tools.descartes.teastore.webui/login,269372186771900,269372201062100
http://localhost:8080/tools.descartes.teastore.webui/login,269372186217200,269372201113000
http://localhost:8080/tools.descartes.teastore.webui/login,269372292223799,269372308315599
http://localhost:8080/tools.descartes.teastore.webui/login,269372308426500,269372327709099
http://localhost:8080/tools.descartes.teastore.webui/login,269372327205399,269372342164299
http://localhost:8080/tools.descartes.teastore.webui/login,269372422132099,269372435128099
http://localhost:8080/tools.descartes.teastore.webui/login,269372440276100,269372452101000
http://localhost:8080/tools.descartes.teastore.webui/login,269372526583000,269372542844500
http://localhost:8080/tools.descartes.teastore.webui/login,269372598791799,269372610082999
http://localhost:8080/tools.descartes.teastore.webui/login,269372657584199,269372671854900
http://localhost:8080/tools.descartes.teastore.webui/login,269372679267700,269372692121799
http://localhost:8080/tools.descartes.teastore.webui/login,269372768248100,269372779656100
http://localhost:8080/tools.descartes.teastore.webui/login,269372777280099,269372788775899
http://localhost:8080/tools.descartes.teastore.webui/login,269372865614500,269372876879300
http://localhost:8080/tools.descartes.teastore.webui/login,269372921124200,269372933205200
http://localhost:8080/tools.descartes.teastore.webui/login,269373005587800,269373020070699
http://localhost:8080/tools.descartes.teastore.webui/login,269373089852900,269373101608400
http://localhost:8080/tools.descartes.teastore.webui/login,269373113354699,269373125339700
http://localhost:8080/tools.descartes.teastore.webui/login,269373113359700,269373125382600
http://localhost:8080/tools.descartes.teastore.webui/login,269373197222300,269373212101500
http://localhost:8080/tools.descartes.teastore.webui/login,269373245630800,269373258333400
http://localhost:8080/tools.descartes.teastore.webui/login,269373310674800,269373367959200
http://localhost:8080/tools.descartes.teastore.webui/login,269373387922400,269373407374200
http://localhost:8080/tools.descartes.teastore.webui/login,269373472092900,269373486550799
http://localhost:8080/tools.descartes.teastore.webui/login,269373523255900,269373536095300
http://localhost:8080/tools.descartes.teastore.webui/login,269373607312000,269373624932700
http://localhost:8080/tools.descartes.teastore.webui/login,269373617038999,269373640457400
http://localhost:8080/tools.descartes.teastore.webui/login,269373701379599,269373712428500
http://localhost:8080/tools.descartes.teastore.webui/login,269373786425200,269373798453899
http://localhost:8080/tools.descartes.teastore.webui/login,269373800683200,269373811292500
http://localhost:8080/tools.descartes.teastore.webui/login,269373861912200,269373878957399
http://localhost:8080/tools.descartes.teastore.webui/login,269373877415100,269373889291799
http://localhost:8080/tools.descartes.teastore.webui/login,269373905306099,269373917643200
http://localhost:8080/tools.descartes.teastore.webui/login,269373968782500,269373979739999
http://localhost:8080/tools.descartes.teastore.webui/login,269374013778999,269374027325899
http://localhost:8080/tools.descartes.teastore.webui/login,269374101409900,269374114677399
http://localhost:8080/tools.descartes.teastore.webui/login,269374185695900,269374197964100
http://localhost:8080/tools.descartes.teastore.webui/login,269374217046700,269374229175900
http://localhost:8080/tools.descartes.teastore.webui/login,269374255742600,269374266520600
http://localhost:8080/tools.descartes.teastore.webui/login,269374304660100,269374316502599
http://localhost:8080/tools.descartes.teastore.webui/login,269374420392200,269374436463900
